Loading Type,Constraint,Number of Layer,E1/E2,a/h,Configuration,Deflection 
UDL,CCCC,12,10,10,HR1,0.565981112
UDL,CCCC,12,10,10,HR2,0.587974184
UDL,CCCC,12,10,10,HR3,0.617162156
UDL,CCCC,12,10,10,HE1,0.560205328
UDL,CCCC,12,10,10,HE2,0.565092508
UDL,CCCC,12,10,10,HE3,0.575513004
UDL,CCCC,12,10,10,HS1,0.631943236
UDL,CCCC,12,10,10,HS2,0.619072868
UDL,CCCC,12,10,10,HS3,0.570965944
UDL,CCCC,12,10,10,LH1,0.57383878
UDL,CCCC,12,10,10,LH2,0.582216508
UDL,CCCC,12,10,10,LH3,0.591851816
UDL,CCCC,12,10,10,FH,0.621255524
UDL,CCCC,12,10,10,QI,0.568541444
UDL,CCCC,12,10,100,HR1,0.318855592
UDL,CCCC,12,10,100,HR2,0.320779952
UDL,CCCC,12,10,100,HR3,0.3236319
UDL,CCCC,12,10,100,HE1,0.319969644
UDL,CCCC,12,10,100,HE2,0.323114396
UDL,CCCC,12,10,100,HE3,0.329278468
UDL,CCCC,12,10,100,HS1,0.35346806
UDL,CCCC,12,10,100,HS2,0.35199698
UDL,CCCC,12,10,100,HS3,0.348480088
UDL,CCCC,12,10,100,LH1,0.3210832
UDL,CCCC,12,10,100,LH2,0.32264522
UDL,CCCC,12,10,100,LH3,0.324461144
UDL,CCCC,12,10,100,FH,0.327071
UDL,CCCC,12,10,100,QI,0.339711336
UDL,CCCC,12,40,10,HR1,0.335864948
UDL,CCCC,12,40,10,HR2,0.361320768
UDL,CCCC,12,40,10,HR3,0.39287222
UDL,CCCC,12,40,10,HE1,0.327589088
UDL,CCCC,12,40,10,HE2,0.330933616
UDL,CCCC,12,40,10,HE3,0.337859532
UDL,CCCC,12,40,10,HS1,0.390511868
UDL,CCCC,12,40,10,HS2,0.365757988
UDL,CCCC,12,40,10,HS3,0.30749204
UDL,CCCC,12,40,10,LH1,0.345222724
UDL,CCCC,12,40,10,LH2,0.3548202
UDL,CCCC,12,40,10,LH3,0.365523728
UDL,CCCC,12,40,10,FH,0.394928528
UDL,CCCC,12,40,10,QI,0.311616332
UDL,CCCC,12,40,100,HR1,0.084349176
UDL,CCCC,12,40,100,HR2,0.085731536
UDL,CCCC,12,40,100,HR3,0.087811528
UDL,CCCC,12,40,100,HE1,0.084750836
UDL,CCCC,12,40,100,HE2,0.086501864
UDL,CCCC,12,40,100,HE3,0.090212284
UDL,CCCC,12,40,100,HS1,0.103692048
UDL,CCCC,12,40,100,HS2,0.104682004
UDL,CCCC,12,40,100,HS3,0.102660616
UDL,CCCC,12,40,100,LH1,0.08564716
UDL,CCCC,12,40,100,LH2,0.086600908
UDL,CCCC,12,40,100,LH3,0.08771982
UDL,CCCC,12,40,100,FH,0.089469964
UDL,CCCC,12,40,100,QI,0.098684216
UDL,CCCC,16,10,10,HR1,0.582715004
UDL,CCCC,16,10,10,HR2,0.634645884
UDL,CCCC,16,10,10,HR3,0.671200644
UDL,CCCC,16,10,10,HE1,0.564163556
UDL,CCCC,16,10,10,HE2,0.582318796
UDL,CCCC,16,10,10,HE3,0.59363028
UDL,CCCC,16,10,10,HS1,0.634456324
UDL,CCCC,16,10,10,HS2,0.622394816
UDL,CCCC,16,10,10,HS3,0.578320968
UDL,CCCC,16,10,10,LH1,0.586780992
UDL,CCCC,16,10,10,LH2,0.600948308
UDL,CCCC,16,10,10,LH3,0.61631224
UDL,CCCC,16,10,10,FH,0.645948592
UDL,CCCC,16,10,10,QI,0.567951636
UDL,CCCC,16,10,100,HR1,0.3202943
UDL,CCCC,16,10,100,HR2,0.325601232
UDL,CCCC,16,10,100,HR3,0.331669236
UDL,CCCC,16,10,100,HE1,0.322272748
UDL,CCCC,16,10,100,HE2,0.332295276
